Product Name,Product Price,MRP Price
HOMETALES - Aluminium No Coating Fry Pan ml ( Pack of 1 ),Rs.  552,Rs. 799
HOMETALES - Aluminium No Coating Handi ml ( Pack of 1 ),Rs.  759,"Rs. 1,799"
"HOMETALES Non-stick Aluminium Handi/Belly Stewpan/Casserole with Lid (3000ml),Granite Finish, 3mm Thickness, Induction Compatible",Rs.  799,"Rs. 1,799"
Neelam Regular Sauce Pan No Coating Stainless Steel Sauce Pan 15 cm 1150 mL,Rs.  219,Rs. 385
Carnival - Plane handi 4 ltr Aluminium No Coating Handi 4000 ml ( Pack of 1 ),Rs.  608,"Rs. 1,099"
Kitchen Krafts - CB handi -Steel Lid Copper No Coating Handi 5500 ml ( Pack of 5 ),Rs.  625,"Rs. 1,599"
HomePro - Red Appam Aluminium Non-Stick Appam Patra 1200 ml ( Pack of 1 ),Rs.  299,Rs. 999
"HOMETALES Stainless Steel Cook and Serve Tope, Set of 3 (1000ml, 1500ml, 2000ml)",Rs.  579,"Rs. 1,299"
"HOMETALES Aluminium 23cm Fry Pan (1200 ml), Silver Finish, Food Grade",Rs.  499,Rs. 849
Carnival - Handi4ltr withlid Aluminium Ceramic Handi 4000 ml ( Pack of 1 ),Rs.  633,"Rs. 1,099"
Veer - Iron Tadka Pan ( Pack of 1 ),Rs.  219,Rs. 599
NanoNine - Stainless Steel No Coating Milk Boiler 1000 ml ( Pack of 1 ),Rs.  625,Rs. 774
The Indus Valley Cast Iron No Coating Iron Tadka Pan 22 cm 300 mL,Rs.  289,Rs. 800
bartan hub Pongal Handi No Coating Stainless Steel Handi 16 cm 2500 mL,Rs.  439,Rs. 799
"HOMETALES Aluminium Tope / Patila (17cm), Capacity 1600ml, Hammertone finish, Induction compatible",Rs.  439,"Rs. 2,499"
"HOMETALES Non Stick Kadai 23cm (2200ml) with Glass Lid, Induction Base, Thickness - 2.5mm Thickness",Rs.  679,"Rs. 1,399"
Carnival - Handi 3 ltr with lid Aluminium Ceramic Handi ml ( Pack of 1 ),Rs.  560,Rs. 999
"Milton Pro Cook Triply Stainless Steel Tope With Lid, 20 cm / 3.13 Litre","Rs.  1,965","Rs. 2,620"
HOMETALES - Aluminium No Coating Sauce Pan 1400 ml ( Pack of 1 ),Rs.  379,"Rs. 1,099"
Kitchen Krafts - plain saucepan Stainless Steel Enamle Sauce Pan 1000 ml ( Pack of 1 ),Rs.  259,Rs. 799
